Año,Ecuador_IDH,Suiza_IDH,Ecuador_IHDI,Suiza_IHDI,Ecuador_PHDI,Suiza_PHDI,Ecuador_GII,Suiza_GII,Ecuador_IDHA,Suiza_IDHA
2000,0.683,0.892,,,0.653,0.705,0.511,0.093,0.6825238498400207,0.8741971990538192
2001,0.691,0.895,,,0.656,0.703,0.498,0.087,0.697526724108358,0.8795173882460148
2002,0.698,0.896,,,0.661,0.715,0.494,0.085,0.693132942691653,0.8724680340999117
2003,0.703,0.901,,,0.666,0.716,0.486,0.077,0.6823220678149875,0.853460749379482
2004,0.709,0.906,,,0.671,0.717,0.478,0.077,0.6984227391229729,0.8511533484452275
2005,0.714,0.909,,,0.675,0.705,0.477,0.074,0.7223780944946581,0.8529128992774266
2006,0.718,0.918,,,0.678,0.708,0.452,0.069,0.7293505169847261,0.8730709777388669
2007,0.722,0.926,,,0.68,0.713,0.451,0.062,0.7383973036594254,0.8900903488272547
2008,0.729,0.934,,,0.686,0.717,0.452,0.06,0.7313482260289379,0.8976232432708686
2009,0.731,0.942,,,0.684,0.725,0.439,0.058,0.7215676176333615,0.8848285084973688
2010,0.737,0.945,0.577,0.87,0.689,0.717,0.431,0.056,0.734772795031846,0.8793238242357205
2011,0.743,0.946,0.596,0.873,0.694,0.686,0.429,0.053,0.7494459168719544,0.885904733825451
2012,0.75,0.949,0.598,0.879,0.708,0.703,0.424,0.05,0.7587250888613772,0.8845332315967447
2013,0.755,0.952,0.607,0.884,0.702,0.706,0.408,0.043,0.764872819764589,0.8833542251010084
2014,0.76,0.956,0.621,0.884,0.705,0.725,0.396,0.041,0.7617726879213003,0.8857183544555377
2015,0.764,0.957,0.622,0.884,0.715,0.727,0.391,0.038,0.7629517335330505,0.884006638797983
2016,0.761,0.959,0.624,0.887,0.716,0.723,0.386,0.038,0.743843163225634,0.8828726169612575
2017,0.764,0.96,0.628,0.886,0.719,0.728,0.389,0.034,0.7588066156011791,0.8826641302780524
2018,0.767,0.962,0.627,0.889,0.724,0.738,0.391,0.031,0.7662864414993517,0.8853962203267647
2019,0.765,0.965,0.627,0.891,0.722,0.742,0.388,0.016,0.759963066964572,0.8937851865692318
2020,0.74,0.963,0.605,0.885,0.704,0.731,0.373,0.012,0.6994447838503611,0.8822144878089727
